"Jahr","Stadtquartier (historisch) (Code)","Stadtquartier (historisch) (Num)","Stadtquartier (historisch) (Name)","Altersjahr","5-Jahres-Altersgruppe","5-Jahres-Altersgruppe (Sort)","wirtschaftliche Bevölkerung"
"2012","011","11","Rathaus","0","0-4","1","22"
"2012","011","11","Rathaus","1","0-4","1","21"
"2012","011","11","Rathaus","2","0-4","1","14"
"2012","011","11","Rathaus","3","0-4","1","18"
"2012","011","11","Rathaus","4","0-4","1","14"
"2012","011","11","Rathaus","5","5-9","2","15"
"2012","011","11","Rathaus","6","5-9","2","12"
"2012","011","11","Rathaus","7","5-9","2","7"
"2012","011","11","Rathaus","8","5-9","2","12"
"2012","011","11","Rathaus","9","5-9","2","10"
"2012","011","11","Rathaus","10","10-14","3","9"
"2012","011","11","Rathaus","11","10-14","3","10"
"2012","011","11","Rathaus","12","10-14","3","13"
"2012","011","11","Rathaus","13","10-14","3","10"
"2012","011","11","Rathaus","14","10-14","3","8"
"2012","011","11","Rathaus","15","15-19","4","9"
"2012","011","11","Rathaus","16","15-19","4","18"
"2012","011","11","Rathaus","17","15-19","4","8"
"2012","011","11","Rathaus","18","15-19","4","14"
"2012","011","11","Rathaus","19","15-19","4","21"
"2012","011","11","Rathaus","20","20-24","5","26"
"2012","011","11","Rathaus","21","20-24","5","41"
"2012","011","11","Rathaus","22","20-24","5","45"
"2012","011","11","Rathaus","23","20-24","5","46"
"2012","011","11","Rathaus","24","20-24","5","66"
"2012","011","11","Rathaus","25","25-29","6","71"
"2012","011","11","Rathaus","26","25-29","6","83"
"2012","011","11","Rathaus","27","25-29","6","80"
"2012","011","11","Rathaus","28","25-29","6","87"
"2012","011","11","Rathaus","29","25-29","6","73"
"2012","011","11","Rathaus","30","30-34","7","55"
"2012","011","11","Rathaus","31","30-34","7","82"
"2012","011","11","Rathaus","32","30-34","7","96"
"2012","011","11","Rathaus","33","30-34","7","75"
"2012","011","11","Rathaus","34","30-34","7","63"
"2012","011","11","Rathaus","35","35-39","8","57"
"2012","011","11","Rathaus","36","35-39","8","57"
"2012","011","11","Rathaus","37","35-39","8","67"
"2012","011","11","Rathaus","38","35-39","8","61"
"2012","011","11","Rathaus","39","35-39","8","55"
"2012","011","11","Rathaus","40","40-44","9","48"
"2012","011","11","Rathaus","41","40-44","9","40"
"2012","011","11","Rathaus","42","40-44","9","57"
"2012","011","11","Rathaus","43","40-44","9","40"
"2012","011","11","Rathaus","44","40-44","9","60"
"2012","011","11","Rathaus","45","45-49","10","36"
"2012","011","11","Rathaus","46","45-49","10","43"
"2012","011","11","Rathaus","47","45-49","10","48"
"2012","011","11","Rathaus","48","45-49","10","47"
"2012","011","11","Rathaus","49","45-49","10","43"
"2012","011","11","Rathaus","50","50-54","11","49"
"2012","011","11","Rathaus","51","50-54","11","45"
"2012","011","11","Rathaus","52","50-54","11","44"
"2012","011","11","Rathaus","53","50-54","11","46"
"2012","011","11","Rathaus","54","50-54","11","48"
"2012","011","11","Rathaus","55","55-59","12","37"
"2012","011","11","Rathaus","56","55-59","12","33"
"2012","011","11","Rathaus","57","55-59","12","42"
"2012","011","11","Rathaus","58","55-59","12","32"
"2012","011","11","Rathaus","59","55-59","12","44"
"2012","011","11","Rathaus","60","60-64","13","46"
"2012","011","11","Rathaus","61","60-64","13","51"
"2012","011","11","Rathaus","62","60-64","13","38"
"2012","011","11","Rathaus","63","60-64","13","32"
"2012","011","11","Rathaus","64","60-64","13","46"
"2012","011","11","Rathaus","65","65-69","14","48"
"2012","011","11","Rathaus","66","65-69","14","43"
"2012","011","11","Rathaus","67","65-69","14","50"
"2012","011","11","Rathaus","68","65-69","14","44"
"2012","011","11","Rathaus","69","65-69","14","30"
"2012","011","11","Rathaus","70","70-74","15","36"
"2012","011","11","Rathaus","71","70-74","15","30"
"2012","011","11","Rathaus","72","70-74","15","18"
"2012","011","11","Rathaus","73","70-74","15","21"
"2012","011","11","Rathaus","74","70-74","15","22"
"2012","011","11","Rathaus","75","75-79","16","16"
"2012","011","11","Rathaus","76","75-79","16","18"
"2012","011","11","Rathaus","77","75-79","16","17"
"2012","011","11","Rathaus","78","75-79","16","13"
"2012","011","11","Rathaus","79","75-79","16","16"
"2012","011","11","Rathaus","80","80-84","17","11"
