"Jahr (Endbestand)","Konfession (gruppiert 2) (Sort)","Konfession (gruppiert 2) (lang)","Schweiz / Ausland Heimat historisch (Sort)","Schweiz / Ausland Heimat historisch","Statistische Zone (historisch) (Code)","Statistische Zone (historisch) (5-Stellig)","Statistische Zone (historisch) (Name)","Stadtquartier (historisch) (Num)","Stadtquartier (historisch) (Name)","Stadtkreis (historisch) (Num)","Stadtkreis (historisch) (Name)","Anzahl Personen"
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1101,"01101","Zähringerstrasse",11,"Rathaus",1,"Kreis 1",99
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1102,"01102","Zentralbibliothek",11,"Rathaus",1,"Kreis 1",290
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1103,"01103","Grossmünster",11,"Rathaus",1,"Kreis 1",254
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1104,"01104","Oberdorf",11,"Rathaus",1,"Kreis 1",200
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1201,"01201","Central",12,"Hochschulen",1,"Kreis 1",95
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1202,"01202","ETH / Universität",12,"Hochschulen",1,"Kreis 1",7
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1203,"01203","Bellevue",12,"Hochschulen",1,"Kreis 1",59
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1301,"01301","Schipfe",13,"Lindenhof",1,"Kreis 1",133
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1302,"01302","Münsterhof",13,"Lindenhof",1,"Kreis 1",134
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1303,"01303","Stadthaus",13,"Lindenhof",1,"Kreis 1",8
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1401,"01401","Bahnhofplatz",14,"City",1,"Kreis 1",8
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1402,"01402","Sihlporte",14,"City",1,"Kreis 1",27
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1403,"01403","Selnaustrasse",14,"City",1,"Kreis 1",120
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",1404,"01404","Paradeplatz",14,"City",1,"Kreis 1",16
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2101,"02101","Bahnhof Wollishofen",21,"Wollishofen",2,"Kreis 2",78
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2102,"02102","Bellariastrasse",21,"Wollishofen",2,"Kreis 2",540
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2103,"02103","Jugendherberge",21,"Wollishofen",2,"Kreis 2",407
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2104,"02104","Morgental",21,"Wollishofen",2,"Kreis 2",346
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2105,"02105","Manegg",21,"Wollishofen",2,"Kreis 2",15
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2106,"02106","Waschanstalt",21,"Wollishofen",2,"Kreis 2",28
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2107,"02107","Auf der Egg",21,"Wollishofen",2,"Kreis 2",340
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2108,"02108","Neubühl",21,"Wollishofen",2,"Kreis 2",712
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2109,"02109","Entlisberg",21,"Wollishofen",2,"Kreis 2",893
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2110,"02110","Verenastrasse",21,"Wollishofen",2,"Kreis 2",305
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2111,"02111","Seeblickstrasse",21,"Wollishofen",2,"Kreis 2",215
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2301,"02301","Höckler",23,"Leimbach",2,"Kreis 2",290
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2302,"02302","Mahrbachweg",23,"Leimbach",2,"Kreis 2",451
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2303,"02303","Sihlweidstrasse",23,"Leimbach",2,"Kreis 2",592
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2401,"02401","Parkring",24,"Enge",2,"Kreis 2",238
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2402,"02402","Kongresshaus",24,"Enge",2,"Kreis 2",136
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2403,"02403","Belvoir-Park",24,"Enge",2,"Kreis 2",220
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2404,"02404","Museum Rietberg",24,"Enge",2,"Kreis 2",686
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2405,"02405","Rieterplatz",24,"Enge",2,"Kreis 2",420
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",2406,"02406","Gartenstrasse",24,"Enge",2,"Kreis 2",35
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3101,"03101","Höfliweg",31,"Alt-Wiedikon",3,"Kreis 3",1009
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3102,"03102","Goldbrunnenplatz",31,"Alt-Wiedikon",3,"Kreis 3",400
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3103,"03103","Gotthelfstrasse",31,"Alt-Wiedikon",3,"Kreis 3",323
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3104,"03104","Manesseplatz",31,"Alt-Wiedikon",3,"Kreis 3",527
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3105,"03105","Binz",31,"Alt-Wiedikon",3,"Kreis 3",511
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3106,"03106","Saalsporthalle",31,"Alt-Wiedikon",3,"Kreis 3",404
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3301,"03301","Heuried",33,"Friesenberg",3,"Kreis 3",301
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3302,"03302","Gehrenholz",33,"Friesenberg",3,"Kreis 3",505
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3303,"03303","Uetliberg",33,"Friesenberg",3,"Kreis 3",519
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3304,"03304","Strassenverkehrsamt",33,"Friesenberg",3,"Kreis 3",488
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3305,"03305","Albisgüetli",33,"Friesenberg",3,"Kreis 3",418
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3306,"03306","Triemli",33,"Friesenberg",3,"Kreis 3",423
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3401,"03401","Schaufelbergerstrasse",34,"Sihlfeld",3,"Kreis 3",655
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3402,"03402","FriedhofSihlfeld",34,"Sihlfeld",3,"Kreis 3",325
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3403,"03403","Brahmsstrasse",34,"Sihlfeld",3,"Kreis 3",496
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3404,"03404","Fritschistrasse",34,"Sihlfeld",3,"Kreis 3",445
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3405,"03405","Idaplatz",34,"Sihlfeld",3,"Kreis 3",649
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3406,"03406","Zwinglihaus",34,"Sihlfeld",3,"Kreis 3",599
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3407,"03407","BahnhofWiedikon",34,"Sihlfeld",3,"Kreis 3",340
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",3408,"03408","Sihlhölzli",34,"Sihlfeld",3,"Kreis 3",192
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4101,"04101","Kalkbreite",41,"Werd",4,"Kreis 4",298
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4102,"04102","Werdplatz",41,"Werd",4,"Kreis 4",121
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4103,"04103","Schöntalstrasse",41,"Werd",4,"Kreis 4",222
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4201,"04201","Schöneggplatz",42,"Langstrasse",4,"Kreis 4",327
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4202,"04202","Bäckeranlage",42,"Langstrasse",4,"Kreis 4",240
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4203,"04203","Engelstrasse",42,"Langstrasse",4,"Kreis 4",561
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4204,"04204","Bezirksgebäude",42,"Langstrasse",4,"Kreis 4",55
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4205,"04205","Volkshaus",42,"Langstrasse",4,"Kreis 4",410
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4206,"04206","Sihlpost",42,"Langstrasse",4,"Kreis 4",279
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4401,"04401","Schlachthof",44,"Hard",4,"Kreis 4",248
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4402,"04402","Norastrasse",44,"Hard",4,"Kreis 4",535
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4403,"04403","Bullingerhof",44,"Hard",4,"Kreis 4",412
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4404,"04404","Lochergut",44,"Hard",4,"Kreis 4",311
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",4405,"04405","Güterbahnhof",44,"Hard",4,"Kreis 4",334
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",5101,"05101","Josefswiese",51,"Gewerbeschule",5,"Kreis 5",522
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",5102,"05102","Quellenstrasse",51,"Gewerbeschule",5,"Kreis 5",558
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",5103,"05103","Berufsschule",51,"Gewerbeschule",5,"Kreis 5",150
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",5104,"05104","Museum für Gestaltung",51,"Gewerbeschule",5,"Kreis 5",48
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",5105,"05105","Johannesgasse",51,"Gewerbeschule",5,"Kreis 5",237
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",5106,"05106","Konradstrasse",51,"Gewerbeschule",5,"Kreis 5",193
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",5201,"05201","Hardturm",52,"Escher Wyss",5,"Kreis 5",269
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",5202,"05202","Technopark",52,"Escher Wyss",5,"Kreis 5",149
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",5203,"05203","Neue Hard",52,"Escher Wyss",5,"Kreis 5",231
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",5204,"05204","KV-Business School",52,"Escher Wyss",5,"Kreis 5",5
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6101,"06101","Nordheim",61,"Unterstrass",6,"Kreis 6",186
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6102,"06102","Kiefernweg",61,"Unterstrass",6,"Kreis 6",345
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6103,"06103","Freibad Allenmoos",61,"Unterstrass",6,"Kreis 6",135
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6104,"06104","Radio-Studio",61,"Unterstrass",6,"Kreis 6",227
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6105,"06105","Steinkluppe",61,"Unterstrass",6,"Kreis 6",408
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6106,"06106","Seminarstrasse",61,"Unterstrass",6,"Kreis 6",422
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6107,"06107","Guggachstrasse",61,"Unterstrass",6,"Kreis 6",666
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6108,"06108","Stüssistrasse",61,"Unterstrass",6,"Kreis 6",731
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6109,"06109","Irchel",61,"Unterstrass",6,"Kreis 6",511
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6110,"06110","Gemsenstrasse",61,"Unterstrass",6,"Kreis 6",324
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6111,"06111","Schindlerstrasse",61,"Unterstrass",6,"Kreis 6",443
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6112,"06112","Drahtschmidli",61,"Unterstrass",6,"Kreis 6",315
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6113,"06113","Beckenhof",61,"Unterstrass",6,"Kreis 6",268
"2012",1,"evangelisch-reformiert",1,"SchweizerInnen",6301,"06301","UniIrchel",63,"Oberstrass",6,"Kreis 6",112
